Bioinformatics_ID	lat	long
JA24801_PAC	18.01312	-102.08812
KEN590_LCA	12.28544	-82.97517
KEN591_LCA	12.28544	-82.97518
KEN592_LCA	12.28544	-82.97519
MVZ175967_LCA	10.39609	-85.17921
MVZ207327_LCA	10.93333	-85.45
MVZ269989_LCA	14.40899	-89.78107
MVZ269990_LCA	14.40899	-89.78107
MVZ269991_LCA	14.40899	-89.78107
T14192_papa_PAC	17.158608	-99.590452
T14199_PAC	16.374811	-94.206688
T1963_arcelia_PAC	18.315918	-100.298865
T1964_arcelia_PAC	18.315918	-100.298865
T2059_Rfor_PAC	22.55783	-105.7435
T3042_LCA	10.535548	-85.585251
T3043_LCA	10.530324	-85.62654
T3430_PAC	19.173905	-103.829438
T3437_PAC	19.450387	-103.481305
T4029_bals_PAC	19.173905	-103.829438
TF8637_Rspe_CMX	16.34919	-95.33441
TF8644_Rspe_CMX	16.34919	-95.33441
TF8647_Rspe_CMX	16.35146	-95.26557
TF8648_Rspe_CMX	16.35146	-95.26557
TF8649_Rspe_CMX	16.35146	-95.26557
TF8650_Rspe_CMX	16.35146	-95.26557
TF8651_Rspe_CMX	16.35146	-95.26557
TF8652_Rspe_CMX	16.35146	-95.26557
TF8653_Rspe_CMX	16.35146	-95.26557
UTA60803_Rfor_PAC	16.7055	-98.77121
V1_PAC	22.128562	-105.204077
V11_PAC	21.80689	-105.204299
V12_PAC	21.80689	-105.204299
V13_PAC	21.80689	-105.204299
V1311_PAC	19.18286111	-103.6241667
V1312_PAC	19.18286111	-103.6241667
V14_PAC	21.80689	-105.204299
V15_PAC	21.80689	-105.204299
V16_PAC	21.80689	-105.204299
V2_PAC	22.128562	-105.204077
V2594_Rfor_PAC	17.17194444	-99.59027778
V2595_Rfor_PAC	17.16577778	-99.59055556
V2598_pap_PAC	17.16402778	-99.59166667
V2599_pap_PAC	17.16402778	-99.59166667
V2600_pap_PAC	17.16402778	-99.59166667
V2602_pap_PAC	17.12763889	-99.50666667
V2685_Rfor_PAC	16.55852778	-94.60472222
V2686_Rfor_PAC	16.55852778	-94.60472222
V2687_Rfor_PAC	16.55852778	-94.60472222
V2688_Rfor_PAC	16.55852778	-94.60472222
V2689_Rfor_PAC	16.55852778	-94.60472222
V2691_Rfor_PAC	16.48236111	-94.36166667
V2692_Rfor_PAC	16.04061111	-93.70555556
V2693_Rfor_PAC	16.04061111	-93.70555556
V2695_Rfor_PAC	16.48236111	-94.36166667
V2696_Rfor_PAC	16.04061111	-93.70555556
V2697_Rfor_PAC	15.37591667	-92.75972222
V2699_Rfor_PAC	15.90997222	-93.97861111
V2700_Rfor_PAC	15.90997222	-93.97861111
V2701_Rfor_PAC	15.37591667	-92.75972222
V2702_Rfor_PAC	15.37591667	-92.75972222
V2706_Rfor_PAC	15.37591667	-92.75972222
V2707_Rfor_PAC	15.37591667	-92.75972222
V2708_Rfor_PAC	15.37591667	-92.75972222
V2717_PAC	19.18305556	-103.6269444
V2718_PAC	19.18305556	-103.6269444
V2719_PAC	19.18305556	-103.6269444
V2720_PAC	19.18308333	-103.6269444
V2721_PAC	19.18305556	-103.6269444
V2722_PAC	19.18305556	-103.6269444
V2723_PAC	19.18308333	-103.6269444
V2724_PAC	19.18305556	-103.6269444
V2725_PAC	19.18308333	-103.6269444
V2726_PAC	19.18308333	-103.6269444
V2727_PAC	19.18308333	-103.6269444
V2728_PAC	19.18305556	-103.6269444
V2729_PAC	19.18308333	-103.6269444
V2730_PAC	19.18308333	-103.6269444
V2794_PAC	21.21691667	-104.7405556
V2797_PAC	NA	NA
V2798_PAC	21.21691667	-104.7405556
V2799_PAC	21.21288889	-104.7272222
V2800_PAC	21.21691667	-104.7405556
V2831_PAC	20.8225	-105.0938889
V2832_PAC	20.83644444	-105.1252778
V2833_PAC	20.01633333	-105.2447222
V2906_PAC	20.00944444	-105.4508333
V3_PAC	22.128562	-105.204077
V4_PAC	22.128562	-105.204077
V5_PAC	22.128562	-105.204077
V6_PAC	22.128562	-105.204077
V7_PAC	22.388427	-105.452203
V8_PAC	22.388427	-105.452203
N918_LCA	13.550396	-85.692188
MVZ149013_LCA	10.39609	-85.17921
T3715_LCA	9.959587	-84.736905
T3762_LCA	9.959587	-84.736905
T3703_LCA	9.959587	-84.736905
T3588_LCA	9.959587	-84.736905
T3743_LCA	9.959587	-84.736905
T3545_LCA	9.959587	-84.736905
T3577_LCA	9.959587	-84.736905
T3544_LCA	9.959587	-84.736905
T3576_LCA	9.959587	-84.736905
T3557_LCA	9.959587	-84.736905
